Country,Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cote d'Ivoire,CIV,54.6450119,56.34096146,56.31137085,57.67633057,58.86014175,59.42810822,59.52368927,64.05679321,69.19927979,73.88562012,76.50209808,78.62342072,79.33648682,78.17899323,74.59581757,70.71456146,67.88018799,65.35047913,64.69612885,66.4160614,66.49255371,65.39069366,65.74159241,65.65354156,68.89672852,69.91557312,70.1818924,71.02388763,71.37371826,72.39187622,70.50180817,71.67494965,71.68865204,67.7177124,..,..,64.88893127,65.33213806,69.16423035,68.63519287,..,77.10758209,79.74378967,80.62490845,82.84934998,85.89230347,90.13424683,91.8170929,92.90189362,93.54521942,94.16091156,92.71938324,94.64894104,101.6504974
Finland,FIN,..,83.23438263,81.86882019,82.82752991,86.14206696,89.7470932,101.8759232,101.5872269,100.682991,100.3380585,100.1746979,100.1045685,100.1153412,100.1014786,99.98158264,99.89971924,99.89624023,99.90782166,100.1272507,100.1457977,100.0846329,99.91737366,99.92951202,99.93991089,99.96981812,100.0033569,99.96566772,99.96169281,99.8864975,99.71653748,99.71708679,99.688591,99.64476776,99.68956757,99.79342651,99.78411102,99.76595306,99.66214752,99.71987152,99.6641922,99.68805695,99.78518677,99.7071228,99.69184875,99.66172028,99.56723022,99.50804138,99.46820831,99.70320129,99.55574799,99.81758118,99.35363007,98.61901855,..
China,CHN,120.3400574,111.9817505,106.8311386,107.8760223,106.1791306,112.1940689,117.5820313,115.5722275,110.8835831,109.9430237,108.8629227,110.8180084,111.8461685,115.2500687,118.2290421,125.6283417,131.474823,134.3261108,131.506958,126.8300018,119.8365021,116.5418167,113.8086319,111.7691269,110.5297012,111.2404633,110.3508606,110.2101288,109.9204712,..,..,115.9098587,..,..,..,..,106.4964294,106.7286606,107.4307404,106.6316376,105.0002136,103.8692627,103.4364395,102.9309082,97.94850159,97.15444183,97.39061737,97.92211914,98.17035675,98.2354126,99.02442932,99.43039703,100.17173,99.32386017
Zambia,ZMB,85.07576752,86.12847137,88.5401535,89.02681732,91.11023712,89.55049896,90.11184692,89.87831879,89.3937912,89.25937653,90.17720032,89.78096008,90.7620697,93.56297302,96.13082886,99.37294769,98.74079132,97.15284729,97.26635742,96.35240936,95.04570007,95.91005707,..,..,88.87361145,86.48574066,84.9032135,..,82.97200012,80.88973999,80.66932678,80.44133759,83.39851379,..,102.5718613,113.9385834,115.2225113,116.4990082,117.8535767,111.7252579,110.6547394,112.1283264,112.2402725,106.3772888,107.5073013,103.8521576,99.99862671,99.23912811,97.77073318,96.24916794,94.77779686,..,..,..
"Venezuela, RB",VEN,..,89.01950073,90.56291962,91.41422272,90.91471863,92.16851807,95.79284668,98.33838654,101.2665482,102.6099396,104.27005,105.5825195,106.2366409,105.4157562,104.1307678,104.555069,104.5440979,104.1214294,103.7534332,103.4622116,104.2580566,107.7618866,109.5950317,108.0406494,..,..,99.56765747,100.7665405,..,99.02050018,100.5510406,103.1105881,105.3987198,103.5004883,103.385231,102.9882278,102.6933289,104.3122406,101.4249115,101.6243134,101.0702286,100.8942795,101.071373,101.6314392,100.5045319,99.73751831,96.8556366,94.08805847,95.46739124,..,..,..,..,108.4356995
Pakistan,PAK,..,45.99063873,46.14646149,48.60000992,51.09384918,51.69375992,52.95048904,54.51552963,48.16485977,47.89838028,47.18001938,47.92446136,48.60794067,50.58744812,50.74132156,52.18367004,52.15908051,53.77165985,53.47727966,53.0443306,52.80419922,..,..,..,..,..,..,..,..,..,63.47122955,63.47180939,63.84201813,65.76925659,69.64685822,73.18280792,69.86380768,74.22019958,73.91271973,74.17310333,74.51810256,71.02598842,70.78525465,70.24364089,74.31890185,74.84799088,79.8399702,78.84305835,82.03330642,83.18457523,..,84.36845972,82.67900632,..
