Country,Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,CHN,19.3,7.059999999,3.81,7.760000001,2.310000003,8.719999997,-1.570000002,7.570000001,11.32597799,7.59132468,7.834145016,5.112761091,9.017113914,10.77020251,15.19154002,13.43067752,8.949961764,11.65742779,11.22259498,4.206334355,3.920251368,9.262786085,14.22452959,13.8837293,13.03680663,10.95395434,9.922556753,9.236779892,7.845951787,7.6616515,8.490093406,8.335733478,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.650678919,9.398725633,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773832,5.950500754,2.238638356,8.448469417,2.95066993,5.249557864
Cote d'Ivoire,CIV,10.37503184,9.456637662,4.236625012,5.939197536,4.327380858,8.252886367,12.91639744,7.314459154,10.90945365,2.394407462,-10.95769726,3.500498909,0.200822347,-3.900240441,-2.701261435,4.501223181,3.259348766,-0.348972914,1.136483966,2.948004943,-1.095908412,0.040925172,-0.244560611,-0.192485099,0.81120668,7.125744728,7.729327419,9.648840047,4.263905944,1.166859982,-0.265789462,-2.154012491,-2.730526474,-4.725866586,3.185038226,0.996065565,2.815578593,1.101429768,4.782665979,3.603321567,6.848049399,-5.37044724,7.620411765,10.76021313,9.371999942,7.194949427,7.17275964,7.410762426,4.843146059,6.721371676,0.699728593,7.063329102,6.217850913,6.2
Finland,FIN,7.470432644,2.356918898,7.735486195,6.983828227,3.236533869,1.804896939,0.344382921,0.239511169,2.919707429,7.121926853,5.389047218,1.289384392,3.086715161,3.103848475,3.226532671,3.54005461,2.755099462,3.561032806,5.23111273,5.083929606,0.691650079,-5.880596166,-3.311373355,-0.779815438,3.964372623,4.234367307,3.662657607,6.397700585,5.45426992,4.389280783,5.753737865,2.640262159,1.687326305,2.011799666,4.005379488,2.777309271,4.019573228,5.312801782,0.784431219,-8.076030899,3.168287723,2.390394726,-1.522840285,-0.979741028,-0.478068319,0.466503518,2.571934232,3.303370161,1.19297773,1.349738438,-2.49103621,2.734713486,1.450048073,-1.163962815
Pakistan,PAK,11.35346172,0.468372548,0.813406405,7.064263857,3.540191713,4.211415631,5.15618959,3.947698287,8.048533619,3.758435569,10.21570404,7.920763572,6.5374868,6.778378339,5.065205605,7.592114699,5.501653664,6.452343025,7.62527878,4.959768894,4.458586815,5.061567759,7.705897817,1.757747698,3.737415558,4.962609146,4.846581287,1.014396011,2.550234298,3.660132739,4.260088011,3.651350171,2.594816684,5.401310873,7.83125557,7.276574436,6.051637676,4.44481434,2.120441043,3.472550596,1.501717522,2.680116854,3.027583911,4.36686505,4.116428172,4.217942096,6.573838285,4.432625907,6.151702611,2.497636929,-1.274087443,6.513885759,4.778106869,-0.039692523
"Venezuela, RB",VEN,7.711914381,1.47929121,1.282805036,7.109957895,2.069333202,2.89625778,7.727739847,6.270783513,2.346896372,0.764355145,-4.421322364,-0.362810903,-2.071006071,-3.764817123,1.442164633,0.193300161,6.510345028,3.581649938,5.82136842,-8.569882013,6.467940853,9.729887977,6.060473262,0.275388158,-2.349507928,3.951662724,-0.197837257,6.370931401,0.294055161,-5.970458146,3.686944167,3.394236108,-8.855647353,-7.75530005,18.28660669,10.3179138,9.872149109,8.753578808,5.277854124,-3.202302657,-1.488791251,4.176425359,5.625956975,1.343094036,-3.894386475,..,..,..,..,..,..,..,..,..
Zambia,ZMB,4.797112903,-0.086039551,9.208865142,-0.962048756,6.428158549,-2.269328924,6.220975267,-4.564236174,0.553763844,-3.023931031,3.035622351,6.167957407,-2.812782629,-1.966689298,-0.336834899,1.615310368,0.723893956,2.675661713,6.280749009,-1.023501789,-0.481072028,-0.036133384,-1.730922174,6.797274049,-8.625441952,2.897668893,6.218546489,3.814007497,-0.385746146,4.650189746,3.897322943,5.316868274,4.50601428,6.944973982,7.032395115,7.235599007,7.903694445,8.352436244,7.773895815,9.220348406,10.29822332,5.569252193,7.597381049,5.05753695,4.693283164,2.920375112,3.755100317,3.525862771,4.034493897,1.441306026,-2.785055065,6.234922047,5.211223604,5.367942855
