Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,CHN,..,..,..,..,..,..,46.53564835,47.08752823,45.19673157,40.20051956,33.4511795,29.54384995,25.97701073,24.16968918,24.17164993,25.6931591,26.6985302,29.46661949,31.32971001,32.39665985,32.95038986,35.52804184,38.65140915,41.08261871,42.5803299,44.76393127,48.43341064,50.86029053,..,..,..,60.5072403,..,62.86651993,..,..,74.75010681,79.20628357,84.34300995,90.88114166,92.26222229,94.02320862,94.72400665,..,..,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,..,3.853359938,4.506259918,4.889629841,4.925389767,..,..,..,..,..,..,10.43834972,..,10.83576012,11.34976006,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.07136917,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.91814995,34.95436859,37.3194313,40.63653183,43.31959915,46.89181137,50.14115143,53.54447937,52.22391891,64.04946899
Finland,FIN,..,105.3962097,109.9957733,111.5095978,113.2021332,..,95.64026642,98.19471741,99.45510864,102.260643,103.8905487,105.0911102,106.1261063,107.8189316,113.4879913,115.4769821,116.9760818,118.3663788,119.8783417,120.1956635,122.7931671,124.4211884,128.6569061,123.6201782,125.39534,124.3614273,127.027832,126.8811111,124.0582581,126.5232391,131.1811829,134.6630554,136.1790009,138.7435913,113.4236832,113.8306274,112.6103821,111.4858627,110.8814468,110.3530197,111.1967163,111.7331924,112.4737625,152.2135468,154.4115753,157.9903107,159.6916351,161.3395538,161.8475952,151.4230957,149.881485,150.9881134,153.2410736,..
Pakistan,PAK,..,6.187960148,6.450260162,7.132279873,7.362860203,8.101200104,7.986700058,8.227930069,8.334639549,8.331520081,8.458740234,8.507920265,8.633230209,8.749770164,9.185409546,9.83368969,10.50732994,10.88245964,11.21603966,11.73077011,12.06587982,15.16810036,17.40665054,..,..,..,..,..,..,..,..,..,..,..,..,..,24.16089058,25.49818039,25.66147995,26.18322945,25.9987137,25.94795106,26.29248047,26.8828771,29.04804758,30.75945438,32.13708045,31.66984232,34.23969452,36.30700455,..,38.20117539,39.22104323,..
"Venezuela, RB",VEN,..,31.38578033,34.20827103,37.03942871,39.95856094,42.06932831,..,..,..,..,..,..,..,..,58.70214844,60.68962097,60.98431015,59.97809982,59.63153839,59.01673126,..,59.61375046,60.68856812,61.47978973,..,..,..,..,..,62.29579163,65.02970886,68.87715912,72.9138031,73.89244843,76.47995758,78.76931763,81.40789795,83.71172333,85.01065826,85.65268707,85.66996765,86.52197266,88.74820709,96.50977325,95.24443054,93.1753006,89.39956665,88.10678101,..,..,..,..,..,99.7403183
Zambia,ZMB,8.063360214,..,8.798629761,..,8.968830109,..,..,..,..,10.62380981,10.84414005,10.92547989,11.08637047,..,..,..,14.34803009,..,14.58833981,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
