Country,Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cote d'Ivoire,CIV,39.00756836,40.36447906,40.75278091,42.29349899,43.23723984,43.78467178,44.40705109,47.86511993,52.60718155,57.04417038,60.27597046,63.37110901,64.88874817,64.53630066,62.04711151,58.85620117,56.55612946,54.20125961,53.43677139,54.82567978,55.15977097,54.25064087,55.10668182,55.2638092,58.5079689,59.87886047,60.18011856,60.96389008,61.82101059,62.11791992,60.53385162,62.20756149,60.89836884,60.05136871,..,..,57.54439163,58.11787033,61.61347961,62.11843872,..,71.06668091,74.10292053,75.61987305,78.00827789,81.34793091,85.97934723,88.13970947,89.70588684,90.86299896,91.48516083,90.46607971,92.48226929,99.35350037
China,CHN,..,..,..,..,88.80317688,100.7245712,109.1847076,107.9541702,103.374382,101.5332108,100.4122162,101.5692978,101.1810684,103.5640717,106.4415665,113.3199387,121.2894135,124.9898834,123.0363998,119.3632126,113.5812683,111.3227692,109.5127487,107.9720306,107.49366,109.0130692,108.9401474,109.5642776,109.9040375,..,..,116.8777771,..,..,..,..,107.2678909,107.374939,107.8944168,107.003212,105.2357407,104.1045914,103.7750778,103.6328888,98.65592957,97.81981659,98.07978058,98.75163269,99.06159973,99.15570068,99.91435242,100.3451996,101.0161972,100.2664413
Finland,FIN,..,..,78.8421936,79.38789368,82.94708252,87.8230896,100.7065201,100.9727936,100.2850037,100.0130768,99.89350891,99.83532715,100.3751221,99.81121826,99.80123901,99.94077301,99.92285919,100.121933,100.2419815,99.95155334,99.88208771,99.65912628,99.72415161,99.81239319,99.82727814,99.86624908,99.94574738,99.92594147,99.70671844,99.50144958,99.41132355,99.39752197,99.31195831,99.29373932,99.40968323,99.40908051,99.52346802,99.37609863,99.37050629,99.38301849,99.38957977,99.40171051,99.39961243,99.38334656,99.39148712,99.30641937,99.26148224,99.22866821,99.41243744,99.27514648,99.63514709,99.2127533,98.41207123,..
Pakistan,PAK,..,25.13323021,25.64250946,28.35342979,29.85622978,30.48241043,32.17761993,32.24148941,31.59988976,31.32523918,31.23737907,32.13169098,33.04949188,33.89677048,34.10950851,35.43952942,35.79294968,36.66242981,36.9319191,36.29550934,36.35297012,..,..,..,..,..,..,..,..,..,51.38206863,51.38098145,51.69569016,55.31560898,58.76940918,63.36272812,61.38505173,67.02867889,67.05256653,67.64608765,67.76997153,64.78375856,65.00103412,64.44491389,67.54895195,68.20759771,72.66670818,72.17125791,74.09612714,76.79728766,..,77.43109681,76.09580259,..
Zambia,ZMB,75.25444794,76.86566162,79.06224823,79.84001923,81.96253967,80.96955109,81.96980286,82.51744843,82.67032623,82.94477081,83.98259735,84.14797974,85.07782745,87.69000244,89.85669708,93.25308228,93.11012268,..,92.04081726,..,..,..,..,..,84.17182922,81.99172974,80.24256134,..,78.71871185,76.50456238,76.73634338,76.67211151,79.31889343,..,98.77700043,109.7531815,112.5442581,113.1701431,115.0132217,109.6936417,109.9615479,110.445488,111.3769913,105.470459,106.569458,102.9197464,99.93831635,99.3915863,98.67228732,97.41614818,95.97815015,..,..,..
"Venezuela, RB",VEN,..,89.66723633,91.0997467,91.88513184,91.31729889,92.44264984,95.88031769,98.24420166,101.2629776,102.6774368,104.3002472,..,..,106.652771,103.6442108,103.7680435,103.8869019,103.607132,103.3901978,103.2664032,..,106.9489136,108.3401489,106.6305618,..,..,98.80953979,99.72236633,..,98.44721985,100.1214523,102.7249908,104.99366,103.0827026,102.9111328,102.5757294,102.0853424,103.5613022,100.7193298,100.9062729,100.2762527,100.24086,100.6557617,101.4514694,99.96961212,98.83112335,95.9016037,93.13983917,..,..,..,..,..,107.7086334
